Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100000,2020-08-02,2020-08-03,Second Class,CUST-2679,Customer 347,Home Office,United States,Newark,New Jersey,East,PR-14165,Office Supplies,Binders,Binders Model 854,291.85,5,0.0,64.51
ORD-100001,2017-03-03,2017-03-04,Same Day,CUST-4257,Customer 367,Consumer,United States,Tacoma,Washington,West,PR-87236,Technology,Phones,Phones Model 674,182.57,1,0.0,26.93
ORD-100002,2018-07-24,2018-07-31,First Class,CUST-3547,Customer 111,Consumer,United States,Harrisburg,Pennsylvania,East,PR-59797,Furniture,Bookcases,Bookcases Model 384,478.48,4,0.0,53.31
ORD-100003,2017-07-18,2017-07-21,Second Class,CUST-3045,Customer 194,Home Office,United States,Detroit,Michigan,Central,PR-92397,Technology,Copiers,Copiers Model 649,1107.12,4,0.0,265.07
ORD-100004,2020-06-20,2020-06-27,First Class,CUST-4733,Customer 396,Consumer,United States,Cincinnati,Ohio,Central,PR-23238,Office Supplies,Paper,Paper Model 777,95.97,3,0.0,20.61
ORD-100005,2019-02-18,2019-02-21,Second Class,CUST-5374,Customer 360,Home Office,United States,Atlanta,Georgia,South,PR-32431,Furniture,Bookcases,Bookcases Model 314,401.97,3,0.1,28.74
ORD-100006,2019-12-30,2020-01-05,First Class,CUST-4598,Customer 351,Consumer,United States,Spokane,Washington,West,PR-14207,Furniture,Bookcases,Bookcases Model 755,440.6,4,0.1,39.53
ORD-100007,2018-10-09,2018-10-13,Same Day,CUST-9179,Customer 203,Consumer,United States,Chicago,Illinois,Central,PR-28301,Technology,Computers,Computers Model 317,1018.38,6,0.0,42.44
ORD-100008,2018-05-21,2018-05-27,Same Day,CUST-3266,Customer 261,Consumer,United States,Evansville,Indiana,Central,PR-24371,Furniture,Bookcases,Bookcases Model 324,638.88,4,0.0,26.51
ORD-100009,2017-11-10,2017-11-16,First Class,CUST-8668,Customer 271,Home Office,United States,Carson City,Nevada,West,PR-99166,Office Supplies,Art,Art Model 490,269.84,4,0.0,56.34
ORD-100010,2017-08-23,2017-08-29,First Class,CUST-8433,Customer 2,Home Office,United States,Detroit,Michigan,Central,PR-76542,Furniture,Furnishings,Furnishings Model 261,314.28,3,0.0,59.7
ORD-100011,2017-08-06,2017-08-13,First Class,CUST-9689,Customer 1,Corporate,United States,Columbus,Ohio,Central,PR-24662,Furniture,Tables,Tables Model 652,591.36,4,0.0,106.65
ORD-100012,2019-01-14,2019-01-21,Standard Class,CUST-8962,Customer 36,Consumer,United States,Columbus,Ohio,Central,PR-72296,Office Supplies,Paper,Paper Model 187,368.27,7,0.0,33.18
ORD-100013,2020-01-31,2020-02-02,First Class,CUST-6107,Customer 205,Corporate,United States,Indianapolis,Indiana,Central,PR-69177,Technology,Accessories,Accessories Model 830,705.28,4,0.0,193.51
ORD-100014,2017-09-05,2017-09-07,Second Class,CUST-4608,Customer 4,Home Office,United States,San Francisco,California,West,PR-17716,Office Supplies,Binders,Binders Model 702,154.92,2,0.05,22.5
ORD-100015,2018-04-14,2018-04-15,Standard Class,CUST-8953,Customer 110,Home Office,United States,Newark,New Jersey,East,PR-85525,Technology,Accessories,Accessories Model 385,1153.8,6,0.0,188.32
ORD-100016,2019-08-27,2019-08-29,Same Day,CUST-8062,Customer 182,Corporate,United States,Charlotte,North Carolina,South,PR-17100,Office Supplies,Paper,Paper Model 774,-58.98,3,0.0,-9.12
ORD-100017,2020-10-11,2020-10-17,Standard Class,CUST-2790,Customer 128,Consumer,United States,Buffalo,New York,East,PR-68800,Technology,Computers,Computers Model 919,390.32,2,0.0,93.83
ORD-100018,2017-10-15,2017-10-19,Second Class,CUST-2604,Customer 26,Consumer,United States,Salem,Oregon,West,PR-31798,Office Supplies,Paper,Paper Model 553,106.92,6,0.0,2.22
ORD-100019,2019-04-13,2019-04-17,First Class,CUST-1035,Customer 200,Corporate,United States,Orlando,Florida,South,PR-65444,Office Supplies,Binders,Binders Model 488,192.99,3,0.0,18.16
ORD-100020,2020-11-27,2020-12-03,First Class,CUST-9883,Customer 32,Consumer,United States,Miami,Florida,South,PR-86569,Furniture,Tables,Tables Model 159,737.12,4,0.0,114.4
ORD-100021,2019-09-04,2019-09-09,Standard Class,CUST-2113,Customer 346,Corporate,United States,San Diego,California,West,PR-84668,Office Supplies,Binders,Binders Model 170,211.2,6,0.0,44.84
ORD-100022,2018-05-20,2018-05-25,First Class,CUST-4346,Customer 343,Consumer,United States,Buffalo,New York,East,PR-61876,Technology,Computers,Computers Model 367,251.2,1,0.0,72.18
ORD-100023,2017-09-26,2017-10-02,Standard Class,CUST-2638,Customer 38,Home Office,United States,Fort Wayne,Indiana,Central,PR-27361,Office Supplies,Paper,Paper Model 569,89.68,4,0.1,22.2
ORD-100024,2018-12-16,2018-12-17,First Class,CUST-9900,Customer 361,Home Office,United States,Salem,Oregon,West,PR-79329,Office Supplies,Art,Art Model 953,78.6,2,0.0,13.8
ORD-100025,2017-01-17,2017-01-23,First Class,CUST-3546,Customer 140,Home Office,United States,Chicago,Illinois,Central,PR-54942,Furniture,Chairs,Chairs Model 209,534.0,5,0.0,106.3
ORD-100026,2018-02-21,2018-02-27,Second Class,CUST-7939,Customer 142,Consumer,United States,Fort Wayne,Indiana,Central,PR-27146,Office Supplies,Paper,Paper Model 749,352.74,6,0.0,17.13
ORD-100027,2020-07-28,2020-07-31,Second Class,CUST-1158,Customer 58,Home Office,United States,Carson City,Nevada,West,PR-81511,Technology,Copiers,Copiers Model 674,888.16,4,0.0,92.86
ORD-100028,2017-03-15,2017-03-22,First Class,CUST-6974,Customer 21,Consumer,United States,Cleveland,Ohio,Central,PR-42706,Office Supplies,Paper,Paper Model 415,62.3,7,0.0,2.67
ORD-100029,2020-09-27,2020-09-28,Same Day,CUST-3662,Customer 91,Consumer,United States,Evansville,Indiana,Central,PR-53540,Technology,Accessories,Accessories Model 342,1104.67,7,0.0,217.12
ORD-100030,2019-04-24,2019-05-01,Standard Class,CUST-1634,Customer 241,Consumer,United States,Portland,Oregon,West,PR-55830,Technology,Phones,Phones Model 491,335.74,2,0.1,75.01
ORD-100031,2018-09-18,2018-09-25,Second Class,CUST-6378,Customer 143,Corporate,United States,Seattle,Washington,West,PR-94080,Technology,Accessories,Accessories Model 508,785.12,4,0.1,193.63
